"","Depth (cm)","volume (ml)","Lycopodium added","Lycopodium counted","Aidia/Catunaregam","Croton/Crotonogyne/Jatropha/Manniophyton/Neoboutonia","Dialium","Drypetes/Shirakia","Machaerium/Ormocarpum/Pterocarpus","Meliaceae undiff.","Nesogordonia","Olax","Parinari","Symphonia globulifera","Allophylus","Celtis","Pycnanthus","Zanthoxylum","Blighia","Bridelia/Cleistanthus","Capparis","Cola/Sterculia","Detarium","Diospyros","Dracaena","Elaeophorbia/Euphorbia","Erythrococca/Micrococca","Eugenia/Syzygium","Fabaceae - Caesalpiniaceae undiff.","Ficus","Hymenocardia","Vitex","Cassia/Cynometra/Erythrophleum/Copaifera/Monopetalanthus","Entada/Prosopis/Piptadeniastrum","Manilkara-type","Mimusops","Pandanus","Rhus/Anthrocaryon/Pseudospondias","Uapaca","Phoenix","Raphia","Alchornea","Combretaceae undiff.","Lophira alata","Cyperaceae undiff.","Nymphaea","Typha","Corynanthe/Hallea/Hymenodictyon/Mitragyna inermis/Nauclea/Pausinystalia/Sarcocephalus/Uncaria","Elaeis guineensis","Macaranga/Mallotus/Mareya","Myianthus/Musanga","Spathodea","Tetrorchidium","Trema","Anthocleista grandiflora","Borassus/Hyphaene","Hannoa","Lannea/Sclerocarya","Pouteria","Zizyphus","Gramineae Undiff.","Celastraceae/Hippocrateaceae undiff.","Stephania/Tiliacora","Annonaceae Undiff.","Malvaceae - Tiliaceae undiff.","Palmae Undiff.","Rubiaceae undiff.","Sessuvium","Bucholzia","Leptaulus","Afzelia","Piliostigma","Dichrostachys","Lamiaceae undiff.","Ochna","Polygala/Securidaca","Keetia/Psydrax","Holoptela grandis","Balanites","Fagonia","Heliotropium","Brassicaceae","Convolvulaceae undiff.","Indigofera","Lotus","Adenia","Plantago","Spermacoce/Diodia","Xyris","Sabicea","Cardiospermum","Amaranthaceae/Chenopodiaceae undiff.","Alstonia/Landolphia","Tabernaemontana","Ilex mitis","Bignoniaceae Undiff.","Canarium","Tessmannia","Mammea africana-type","Allanblackia","Aneulophus","Anthostema","Antidesma/Thecacoris","Martretia","Baphia/Millettia","Xylia-type","Caloncoba-type","Kirkia","Antiaris/Milicia/Morus","Ongokea gore","Strombosia","Panda oleosa","Medusandra","Coffea","Ixora-type","Teclea/Vepris","Aphania/Lecaniodiscus","Ganophyllum-type giganteum","Paullinia pinnata","Zanha","Triplochiton","Mangifera type","Asteraceae","Bombax","Ceiba pentandra","Discoglypremna caloneura","Tephrosia","Acacia","Premna","Rumex","Morinda lucida-type","Dichostemma","Gilbertiodendron/Isomacrolobium/Isoberlinia/Berlinia/Pelligriniodendron","Irvingia/Klainedoxa","Scaphopetalum","Prunus","Craterispermum","Rinorea","Loranthaceae undiff.","Moraceae Undiff.","Phyllantheae undiff.","Sapindaceae undiff."
"35",170,2,25084,26,0,0,6,0,7,1,0,2,0,0,0,4,2,1,6,0,0,5,2,2,0,0,0,3,1,1,0,0,0,2,0,3,0,0,3,7,13,6,4,5,0,1,0,6,0,41,41,0,0,2,0,1,1,2,2,4,8,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"36",175,2,24200,12,0,0,0,0,8,0,3,1,0,0,0,7,5,0,1,0,0,5,0,1,4,0,0,1,1,0,0,0,0,2,0,1,0,4,1,4,10,15,5,5,3,7,0,10,0,50,23,0,1,4,1,0,3,0,1,4,9,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"37",180,2,25084,10,0,0,0,0,8,0,1,1,0,0,1,6,0,4,2,2,0,5,0,0,1,0,0,0,4,1,0,1,4,0,0,1,0,1,0,3,8,4,3,7,0,0,0,5,2,52,52,0,0,5,0,1,1,1,0,7,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",185,2,24200,21,0,3,0,2,5,0,1,0,0,0,0,7,4,3,4,1,0,7,0,1,1,2,0,2,0,0,0,2,2,0,0,0,0,2,2,2,15,15,3,5,1,3,0,8,0,42,19,0,2,0,2,0,1,1,0,1,11,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"39",190,2,25084,19,1,1,3,0,4,1,0,0,0,1,1,8,1,2,0,0,0,3,1,2,1,0,0,1,2,0,0,2,4,3,0,0,0,0,1,2,11,9,1,5,0,4,0,4,1,60,29,0,0,0,0,1,1,1,1,13,7,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0
"40",195,2,24200,17,0,0,0,1,0,2,0,1,0,1,0,11,0,3,5,0,0,3,1,0,0,0,0,1,1,0,1,3,1,1,4,1,1,1,1,8,8,4,5,10,1,0,0,9,1,41,46,0,1,2,0,2,0,3,1,0,8,2,0,0,0,4,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
"41",200,2,25084,31,1,0,4,0,11,1,0,1,0,1,1,4,3,2,4,2,0,5,0,1,0,0,3,1,0,0,0,1,1,2,0,0,1,0,1,4,19,7,2,6,0,1,0,5,2,47,27,0,0,3,0,0,0,5,0,7,10,0,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"42",220,2,24200,14,0,1,0,1,4,0,0,1,0,0,1,6,3,1,2,2,0,1,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,3,4,3,6,9,2,2,1,0,0,16,2,75,13,3,0,6,1,1,2,1,1,0,10,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"43",230,2,25084,30,1,0,6,0,10,1,0,0,0,1,0,2,1,0,2,0,0,2,0,1,0,0,8,1,0,0,0,2,3,1,0,0,0,2,2,1,16,9,5,7,0,3,1,7,0,67,26,0,0,1,0,0,2,3,0,4,3,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",240,1,24200,46,0,0,0,0,3,1,0,0,0,0,0,5,1,4,11,2,0,2,0,5,1,0,0,2,0,1,1,6,7,2,0,1,1,0,2,1,5,12,11,13,6,0,2,14,6,144,23,0,3,10,0,8,7,6,0,0,21,2,0,1,0,3,0,3,0,0,2,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"45",250,2,25084,14,1,0,4,0,12,0,0,0,0,0,1,5,1,3,2,0,0,4,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,19,3,1,5,1,0,1,5,1,57,34,0,1,6,0,1,4,3,0,8,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
